Sample label [TARA_station#_environmental-feature_size-fraction],ENA-SAMPLE,Station,Date,Salinity [PSU],Oxygen [umol/kg],Nitrates [umol/L],NO2 [umol/L],PO4 [umol/L],NO2NO3 [umol/L],SI [umol/L],AMODIS:PAR8d,Einsteins/m-2/d-1,Okubo-Weiss,Lyapunov_exp.,grad_SST_adv
TARA_065_DCM_0.1-0.22,ERS490089,TARA_065,01/03/2012 20:06,35.4,155.2,21.3,0.01,1.36,21.11,11.38,15.2,0.21,0.05,NA,0
TARA_065_DCM_<-0.22,ERS490120,TARA_065,05/03/2012 21:32,36.2,230.1,1.2,0.04,0,0.17,0.84,20.5,-0.18,0.04,NA,22.03
TARA_066_SRF_0.22-3,ERS490124,TARA_066,02/11/2009 12:43,37.9,237.9,NA,0.03,0.01,0.02,0.62,23.2,0.14,0,NA,7.67
TARA_066_SRF_<-0.22,ERS490142,TARA_066,02/11/2009 12:43,37.9,237.9,NA,0.03,0.01,0.02,0.62,23.2,0.14,0,NA,7.67
TARA_066_DCM_0.22-3,ERS490163,TARA_066,19/03/2012 10:42,36,243.1,3,0.31,0.16,2.16,1.24,23.8,0,0.11,NA,2.83
TARA_066_DCM_<-0.22,ERS490180,TARA_066,20/03/2012 12:20,36,239.4,3.8,0.32,0.17,2.26,1.26,24.8,0,0.11,NA,2.83
TARA_067_SRF_0.22-3,ERS490183,TARA_067,02/11/2009 8:18,37.9,207.8,NA,0.02,0.03,0.12,0.56,22,0.14,0,NA,7.67
TARA_067_SRF_0.22-0.45,ERS490192,TARA_067,02/11/2009 8:18,37.9,207.8,NA,0.02,0.03,0.12,0.56,22,0.14,0,NA,7.67
TARA_067_SRF_0.45-0.8,ERS490193,TARA_067,16/11/2009 8:06,37.8,220.9,NA,0.07,0.02,0.21,2.03,16.1,-0.64,0,NA,7.75
TARA_067_SRF_<-0.22,ERS490204,TARA_067,18/11/2009 12:42,38.4,224.3,NA,0.01,0.01,0.05,1.05,8.5,-0.39,0,NA,1.89
TARA_068_MES_0.22-3,ERS490230,TARA_068,23/11/2009 9:14,38.2,218,NA,0,0.01,0.03,1.05,13.6,0.18,0.02,NA,1.25
TARA_068_MES_0.45-0.8,ERS490238,TARA_068,23/11/2009 9:14,38.2,218,NA,0,0.01,0.03,1.05,13.6,0.18,0.02,NA,1.25
TARA_068_SRF_0.22-3,ERS490265,TARA_068,15/12/2009 16:17,39.3,218.1,0.3,0.01,0,0.02,0.67,14.7,-0.86,0.03,NA,40.81
TARA_068_SRF_0.22-0.45,ERS490272,TARA_068,15/12/2009 16:17,39.3,218.1,0.3,0.01,0,0.02,0.67,14.7,-0.86,0.03,NA,40.81
TARA_068_SRF_0.45-0.8,ERS490273,TARA_068,15/12/2009 10:40,39.4,207.6,-0.7,0,0,0.05,0.82,13.2,-0.86,0.03,NA,40.81
TARA_068_SRF_<-0.22,ERS490285,TARA_068,09/01/2010 7:25,40,188.8,-0.1,0.01,0.02,0.03,0.82,28.2,NA,0,NA,0
TARA_068_DCM_0.22-3,ERS490296,TARA_068,18/11/2009 12:42,38.4,224.3,NA,0.01,0.01,0.05,1.05,8.5,-0.39,0,NA,1.89
TARA_068_DCM_0.22-0.45,ERS490303,TARA_068,18/11/2009 8:23,38.2,220,NA,0.01,0.01,0.04,1.38,7.7,-0.39,0,NA,1.89
TARA_068_DCM_0.45-0.8,ERS490304,TARA_068,23/11/2009 12:40,38.5,229.5,NA,0.07,0.07,0.15,1.82,13.6,0.18,0.02,NA,1.25
TARA_068_DCM_<-0.22,ERS490320,TARA_068,23/11/2009 12:40,38.5,229.5,NA,0.07,0.07,0.15,1.82,13.6,0.18,0.02,NA,1.25
TARA_070_SRF_0.22-3,ERS490327,TARA_070,11/01/2010 7:27,39.7,188.4,-0.5,0.01,0.02,0,0.87,24.7,NA,0,NA,0
TARA_070_SRF_0.22-0.45,ERS490336,TARA_070,13/01/2010 8:00,38.9,182.8,0,0,0.05,0,1.15,34.1,NA,0,NA,0
TARA_070_SRF_0.45-0.8,ERS490337,TARA_070,20/01/2010 7:44,38.9,175.4,0.1,0.27,0.09,0.64,1.35,35.4,NA,0,0.67,0
TARA_070_SRF_<-0.22,ERS490346,TARA_070,20/01/2010 7:44,38.9,175.4,0.1,0.27,0.09,0.64,1.35,35.4,NA,0,0.67,0
TARA_070_MES_0.22-3,ERS490373,TARA_070,09/01/2010 7:25,40,188.8,-0.1,0.01,0.02,0.03,0.82,28.2,NA,0,NA,0
TARA_070_MES_0.22-0.45,ERS490380,TARA_070,11/01/2010 19:14,40.2,180,1.2,0.01,0.03,0.01,0.85,23.4,NA,0,NA,0
TARA_070_MES_0.45-0.8,ERS490382,TARA_070,11/01/2010 19:14,40.2,180,1.2,0.01,0.03,0.01,0.85,23.4,NA,0,NA,0
TARA_070_MES_<-0.22,ERS490388,TARA_070,11/01/2010 7:27,39.7,188.4,-0.5,0.01,0.02,0,0.87,24.7,NA,0,NA,0
TARA_072_SRF_0.22-3,ERS490433,TARA_072,12/03/2010 10:34,36.5,211.6,0.4,0.51,0.51,2.08,1.79,41.8,-0.03,0.07,0.23,18.83
TARA_072_SRF_<-0.22,ERS490452,TARA_072,12/03/2010 6:19,36.5,210.9,NA,0.05,0.37,0.13,1.2,42.5,-0.03,0.07,0.23,18.83
TARA_072_DCM_0.22-3,ERS490476,TARA_072,20/01/2010 4:50,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,35.4,NA,0,0.67,0
TARA_072_DCM_<-0.22,ERS490494,TARA_072,20/01/2010 4:50,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,35.4,NA,0,0.67,0
TARA_072_MES_0.22-3,ERS490507,TARA_072,20/01/2010 4:50,38.6,184.1,-0.9,0.02,0.19,0.03,3.91,35.4,NA,0,0.67,0
TARA_072_MES_<-0.22,ERS490522,TARA_072,12/03/2010 10:34,36.5,211.6,0.4,0.51,0.51,2.08,1.79,41.8,-0.03,0.07,0.23,18.83
TARA_076_SRF_0.22-3,ERS490542,TARA_076,16/03/2010 10:05,36,2.4,22.4,0.69,2.64,23.43,38.94,47.7,0.01,0.07,0.16,1.08
TARA_076_SRF_0.22-0.45,ERS490547,TARA_076,16/03/2010 10:05,36,2.4,22.4,0.69,2.64,23.43,38.94,47.7,0.01,0.07,0.16,1.08
TARA_076_SRF_0.45-0.8,ERS490548,TARA_076,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_076_SRF_<-0.22,ERS490557,TARA_076,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_076_DCM_0.22-3,ERS490597,TARA_076,12/03/2010 6:19,36.5,210.9,NA,0.05,0.37,0.13,1.2,42.5,-0.03,0.07,0.23,18.83
TARA_076_DCM_0.22-0.45,ERS490602,TARA_076,12/03/2010 6:19,36.5,210.9,NA,0.05,0.37,0.13,1.2,42.5,-0.03,0.07,0.23,18.83
TARA_076_DCM_0.45-0.8,ERS490603,TARA_076,13/03/2010 10:55,35.7,1.6,31.8,0.07,2.91,30.52,54.48,40.3,NA,NA,NA,NA
TARA_076_DCM_<-0.22,ERS490610,TARA_076,13/03/2010 10:55,35.7,1.6,31.8,0.07,2.91,30.52,54.48,40.3,NA,NA,NA,NA
TARA_076_MES_0.22-3,ERS490633,TARA_076,15/03/2010 9:32,NA,154.7,1.2,0.7,0.42,1.86,1.63,46,0.01,0.07,0.16,1.08
TARA_076_MES_0.45-0.8,ERS490643,TARA_076,15/03/2010 9:32,NA,154.7,1.2,0.7,0.42,1.86,1.63,46,0.01,0.07,0.16,1.08
TARA_078_SRF_0.22-3,ERS490659,TARA_078,18/03/2010 4:41,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14
TARA_078_SRF_0.22-0.45,ERS490664,TARA_078,18/03/2010 4:41,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14
TARA_078_SRF_0.45-0.8,ERS490665,TARA_078,15/09/2009 16:45,36.6,NA,NA,NA,NA,NA,NA,37.6,0.01,0.02,NA,0
TARA_078_SRF_<-0.22,ERS490676,TARA_078,15/09/2009 10:15,36.6,NA,NA,NA,NA,NA,NA,39.9,0.01,0.02,NA,0
TARA_078_DCM_0.22-3,ERS490691,TARA_078,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_078_DCM_0.22-0.45,ERS490696,TARA_078,18/03/2010 9:52,36.3,193,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14
TARA_078_DCM_0.45-0.8,ERS490697,TARA_078,18/03/2010 9:52,36.3,193,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14
TARA_078_MES_0.22-3,ERS490714,TARA_078,20/03/2010 9:36,35.9,2.3,19.6,2.07,2.64,21.22,38.62,48.6,0.33,0.03,1.63,2.14
TARA_078_MES_0.45-0.8,ERS490722,TARA_078,20/03/2010 9:36,35.9,2.3,19.6,2.07,2.64,21.22,38.62,48.6,0.33,0.03,1.63,2.14
TARA_082_SRF_0.22-3,ERS490885,TARA_082,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_082_DCM_0.22-3,ERS490928,TARA_082,30/03/2010 8:46,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64
TARA_082_DCM_<-0.22,ERS490953,TARA_082,30/03/2010 8:46,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64
TARA_084_SRF_0.22-3,ERS491001,TARA_084,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_085_SRF_0.22-3,ERS491044,TARA_085,04/04/2010 3:13,34.6,189.3,-1.5,0,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06
TARA_085_DCM_0.22-3,ERS491095,TARA_085,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_085_DCM_<-0.22,ERS491107,TARA_085,04/04/2010 9:05,35.1,132.8,0.6,0.15,0.34,1.39,3.2,41.6,-0.03,0.04,NA,7.06
TARA_085_MES_0.22-3,ERS491110,TARA_085,04/04/2010 9:05,35.1,132.8,0.6,0.15,0.34,1.39,3.2,41.6,-0.03,0.04,NA,7.06
TARA_093_SRF_0.22-3,ERS491421,TARA_093,13/04/2010 3:21,35.1,185.2,2.6,0.02,1.94,28.64,15.14,33.9,0.01,0,NA,0
TARA_093_DCM_0.22-3,ERS491463,TARA_093,04/04/2010 3:13,34.6,189.3,-1.5,0,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06
TARA_094_SRF_0.22-3,ERS491492,TARA_094,15/04/2010 2:38,35.1,185.7,0.5,0,0.1,0.05,1.94,43.5,0.03,0,NA,1.19
TARA_096_SRF_0.22-3,ERS491525,TARA_096,19/04/2010 7:54,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19
TARA_098_SRF_0.22-3,ERS491699,TARA_098,17/05/2010 15:34,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0
TARA_098_DCM_0.22-3,ERS491740,TARA_098,19/04/2010 7:54,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19
TARA_098_MES_0.22-3,ERS491767,TARA_098,17/05/2010 15:34,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0
TARA_099_SRF_0.22-3,ERS491804,TARA_099,17/05/2010 3:56,34.6,191.7,NA,0,0.12,0,2.67,33.9,0.47,0.05,1.77,0
TARA_100_SRF_0.22-3,ERS491836,TARA_100,27/06/2010 12:07,35.1,190.1,NA,0.02,0,0,2.81,25.1,NA,NA,NA,NA
TARA_100_DCM_0.22-3,ERS491874,TARA_100,26/06/2010 7:12,34.8,88.2,NA,NA,NA,NA,NA,37.6,NA,NA,NA,NA
TARA_100_MES_0.22-3,ERS491913,TARA_100,26/06/2010 7:12,35,193.1,NA,NA,NA,NA,NA,37.6,NA,NA,NA,NA
