ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS490265,0.201517,16.832058,0.01,218.1,0.0,1.78927118345,34.3083862498,5.0,39.3,0.184803365665,0.3,12.5523605386,110.925731393,0.02,316.72465584,14.3668024435,SAO,0.0831755661283,0.608126979599,331.091458283
ERS490272,0.201517,16.832058,0.01,218.1,0.0,0.31701342537,6.57757180263,5.0,39.3,0.0748931233916,0.3,8.54761165638,101.9774913,0.02,40.6572110588,0.0523520963444,SAO,0.0367950134437,0.619260699943,40.7095631552
ERS490273,0.201517,16.832058,0.0,207.6,0.0,0.497720072985,13.8220918086,5.0,39.4,0.0866418499299,-0.7,16.1150147439,32.0745317737,0.05,190.340180807,3.39506168453,SAO,0.0603978225106,0.190205655265,193.735242491
ERS490285,0.201517,16.832058,0.01,188.8,0.02,24.1554446499,30.9708349836,5.0,40.0,0.0693951219727,-0.1,0.315880387121,0.0872214405265,0.03,0.152295409678,0.0609384329407,SAO,0.0376165736111,0.00172886816929,0.213233842619
ERS490296,0.42458,16.787411,0.01,224.3,0.01,1.67999450014,33.5814558556,50.0,38.4,0.16967054768,,18.467242318,103.716504936,0.05,339.758174692,17.789588749,SAO,0.081338635847,0.657329790748,357.547763441
ERS490303,0.42458,16.787411,0.01,220.0,0.01,0.469356901283,7.54547451839,50.0,38.2,0.147456439667,,17.3639599235,82.5550408266,0.04,8.32222541886,0.812269622662,SAO,0.114165431768,0.977028491195,9.13449504152
ERS490304,0.42458,16.787411,0.07,229.5,0.07,0.652185475483,11.6749777595,50.0,38.5,0.0915678936728,,19.3990571785,41.323454425,0.15,158.083702745,8.64867758204,SAO,0.0566477730882,0.28078625654,166.732380327
ERS490314,0.42458,16.787411,,,,,,50.0,,,,,,,,,SAO,,,
ERS490320,0.42458,16.787411,0.07,229.5,0.07,31.2354533569,27.6810879024,50.0,38.5,0.00534141911894,,0.192086462728,0.0326863356828,0.15,0.0917195817775,0.0123930156166,SAO,0.00157740608111,0.000138919361958,0.104112597394
ERS490327,0.324315,19.776808,0.01,188.4,0.02,2.15920741164,6.83316609482,5.0,39.7,0.12137255641,-0.5,41.9329938344,38.8578676577,0.0,76.0440897417,0.888284276491,SAO,0.0574914034813,0.0185680440112,76.9323740182
ERS490336,0.324315,19.776808,0.0,182.8,0.05,1.27803943118,7.92915196471,5.0,38.9,0.106604695646,0.0,29.4838908448,107.960297544,0.0,8.34322844118,0.0739912809762,SAO,0.0489053801838,0.0513346720257,8.41721972216
