ENA-RUN,Depth,ENA-BASE-COUNT,ENA-SPOT-COUNT,Layer,LATITUDE,LONGITUDE,Protocol Label,Station,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Region
ERR598951,5,6025483748,30171447,surface water layer (ENVO:00002042),39.3888,19.3905,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_025,0.22,1.6,18.342533,MS
ERR599043,5,39195463209,198608764,surface water layer (ENVO:00002042),39.3888,19.3905,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_025,0.22,1.6,18.342533,MS
ERR315863,5,16030047281,81462943,surface water (ENVO:00002042) layer,33.9179,32.898,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,20.460612,MS
ERR315862,5,31403376810,157929848,surface water (ENVO:00002042) layer,33.9179,32.898,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,20.460612,MS
ERR594405,70,7324078417,39094357,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.9235,32.8118,VIRUS_NUC-DNA-Fe(20L)_W<-0.22,TARA_030,<,0.22,18.979535,MS
ERR318620,70,16106127837,79459583,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.9235,32.8118,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,18.979535,MS
ERR318621,70,1177769082,7841374,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.9235,32.8118,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,18.979535,MS
ERR318619,70,1169571614,7753939,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.9235,32.8118,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,18.979535,MS
ERR318618,70,15892936467,78363621,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.9235,32.8118,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_030,0.22,1.6,18.979535,MS
ERR594410,5,7023345780,36430030,surface water layer (ENVO:00002042),27.1433,34.8033,VIRUS_NUC-Fe_W<-0.22,TARA_031,<,0.22,25.0621,RS
ERR594401,5,5856882763,30533216,surface water layer (ENVO:00002042),27.1433,34.8033,VIRUS_NUC-Fe_W<-0.22,TARA_031,<,0.22,25.0621,RS
ERR599106,5,32466206982,166388827,surface water layer (ENVO:00002042),27.1433,34.8033,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_031,0.22,1.6,25.0621,RS
ERR598969,5,6374838210,34486935,surface water layer (ENVO:00002042),27.1433,34.8033,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_031,0.22,1.6,25.0621,RS
ERR594393,5,9887750436,50756575,surface water layer (ENVO:00002042),23.36,37.2183,VIRUS_NUC-Fe_W<-0.22,TARA_032,<,0.22,25.824383,RS
ERR599097,80,32976603710,167058316,deep chlorophyll maximum layer (ENVO:xxxxxxxx),23.4183,37.245,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_032,0.22,1.6,26.050367,RS
ERR594360,80,11628801932,64643745,deep chlorophyll maximum layer (ENVO:xxxxxxxx),23.4183,37.245,VIRUS_NUC-Fe_W<-0.22,TARA_032,<,0.22,26.050367,RS
ERR599155,5,4457780405,22345279,surface water layer (ENVO:00002042),23.36,37.2183,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_032,0.22,1.6,25.824383,RS
ERR599116,5,25464254491,127806508,surface water layer (ENVO:00002042),23.36,37.2183,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_032,0.22,1.6,25.824383,RS
ERR599061,80,5975766062,29953054,deep chlorophyll maximum layer (ENVO:xxxxxxxx),23.4183,37.245,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_032,0.22,1.6,26.050367,RS
ERR599041,5,9673288270,48683248,surface water layer (ENVO:00002042),23.36,37.2183,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_032,0.22,1.6,25.824383,RS
ERR599134,5,8367551842,42401297,surface water layer (ENVO:00002042),21.9467,38.2517,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_033,0.22,1.6,27.329517,RS
ERR599049,5,16755985574,85133875,surface water layer (ENVO:00002042),21.9467,38.2517,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_033,0.22,1.6,27.329517,RS
ERR594328,5,21048737744,104201672,surface water layer (ENVO:00002042),18.3967,39.875,GIRUS_NUC-dry_W0.1-0.22,TARA_034,0.1,0.22,27.59865,RS
ERR594390,60,7977989543,40848755,deep chlorophyll maximum layer (ENVO:xxxxxxxx),18.4417,39.8567,VIRUS_NUC-Fe_W<-0.22,TARA_034,<,0.22,27.589917,RS
ERR594368,5,5637345978,29023535,surface water layer (ENVO:00002042),18.3967,39.875,VIRUS_NUC-Fe_W<-0.22,TARA_034,<,0.22,27.59865,RS
ERR598975,60,7410194646,37677371,deep chlorophyll maximum layer (ENVO:xxxxxxxx),18.4417,39.8567,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_034,0.22,1.6,27.589917,RS
ERR598991,5,15977900413,81065985,surface water layer (ENVO:00002042),18.3967,39.875,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_034,0.22,1.6,27.59865,RS
ERR599111,60,36623683151,187030708,deep chlorophyll maximum layer (ENVO:xxxxxxxx),18.4417,39.8567,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_034,0.22,1.6,27.589917,RS
ERR594370,5,6225406421,32371543,surface water layer (ENVO:00002042),18.3967,39.875,VIRUS_NUC-Fe_W<-0.22,TARA_034,<,0.22,27.59865,RS
ERR598959,5,7815134835,39588227,surface water layer (ENVO:00002042),18.3967,39.875,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_034,0.22,1.6,27.59865,RS
ERR594369,5,7164049847,37151587,surface water layer (ENVO:00002042),20.8183,63.5047,VIRUS_NUC-Fe_W<-0.22,TARA_036,<,0.22,25.581433,IO
ERR598974,17,6516856967,32688174,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.8222,63.5133,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_036,0.22,1.6,25.37395,IO
ERR594402,17,7529455234,38625900,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.8222,63.5133,VIRUS_NUC-Fe_W<-0.22,TARA_036,<,0.22,25.37395,IO
ERR594334,5,4840384802,23962301,surface water layer (ENVO:00002042),20.8183,63.5047,GIRUS_NUC-dry_W0.1-0.22,TARA_036,0.1,0.22,25.581433,IO
ERR599143,5,16330260092,82513154,surface water layer (ENVO:00002042),20.8183,63.5047,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_036,0.22,1.6,25.581433,IO
ERR598966,5,8631193288,43069804,surface water layer (ENVO:00002042),20.8183,63.5047,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_036,0.22,1.6,25.581433,IO
ERR599028,17,33239923437,168362651,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.8222,63.5133,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_036,0.22,1.6,25.37395,IO
ERR594345,600,38080486116,188517258,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),20.8457,63.5851,GIRUS_NUC-dry_W0.1-0.22,TARA_037,0.1,0.22,12.066048,IO
ERR594290,600,15726023200,77851600,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),20.8457,63.5851,GIRUS_NUC-dry_W0.1-0.22,TARA_037,0.1,0.22,12.066048,IO
ERR599062,600,33471187109,170126485,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),20.8457,63.5851,BACT_NUC-RNA(10L-or-10min)_W0.22-1.6,TARA_037,0.22,1.6,12.066048,IO
