RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_phage,SAR11_Phage,Synechococcus
ERR599038,,,0.288205,17/10/2010 11:01,5.0,ERS493044,0.01,surface water layer (ENVO:00002042),0.7,0.0,12.08,2.467162,34.6,0.02,179.86,192.2,0.94,,SPO,4.39,35.100467,34.4,TARA_128_SRF_0.22-3,TARA_128,,TARA_128,26.074467,3.53,0.0374382644298,15.2804030385,0.0526095622566,0.0,47.6589648667,0.577596788653,12.5736925581,44.4535003729,0.0948645179217,0.00664643116784,0.231008466739,0.476745552397
ERR599039,10.4,,0.317793,12/07/2010 11:25,5.0,ERS492228,1.83,surface water layer (ENVO:00002042),0.73,,,6.729337,,0.11,190.816333,206.4,,,SPO,,35.0193,,TARA_110_SRF_0.22-3,TARA_110,,TARA_110,23.8683,1.08,0.00379459187062,21.654622672,0.0428988066169,0.0,12.2128289421,0.543117128709,18.3549623789,97.086225051,0.121403209897,0.0277984322389,0.875315638206,0.805781415768
ERR599040,42.5,,0.150865,12/03/2010 6:19,150.0,ERS490597,-0.03,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.23,0.05,0.13,0.580918,,0.07,203.814833,210.9,0.37,,SAO,1.2,36.724683,36.5,TARA_076_DCM_0.22-3,TARA_076,,TARA_076,21.643283,18.83,0.0358209212931,19.8176762689,0.0337286826358,0.0,14.386354243,0.452838488792,23.4951329589,7.59426716815,0.0380441866257,0.03953531769,1.77906732319,0.430689110849
ERR599041,40.5,,0.0,27/07/2011 23:48,5.0,ERS488569,0.0,surface water layer (ENVO:00002042),,0.02,34.63,-0.541919,42.5,0.02,188.416583,38.1,2.43,,RS,22.49,39.74725,34.6,TARA_032_SRF_0.22-1.6,TARA_032,,TARA_032,25.824383,8.42,0.00571700595345,115.912164481,0.027009507303,0.0,39.920773538,0.380990213079,201.628252708,53.4775303846,0.0660324656257,0.0321185711281,1.91104338263,2.93485922696
ERR599042,43.4,,0.176523,19/04/2010 7:54,188.0,ERS491740,-0.07,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.99,0.01,0.06,-0.73316,-2.2,0.05,210.5781,187.3,0.08,,SPO,2.12,35.845669,34.2,TARA_098_DCM_0.22-3,TARA_098,,TARA_098,20.171605,6.19,0.00959160264086,40.2131703886,0.0258492527584,0.0,10.644162565,0.0526403519002,109.092286728,23.1980830778,0.068694971144,0.0018251037981,0.271351887217,0.156726588472
ERR599043,34.2,,0.121845,31/05/2011 14:12,5.0,ERS488486,-0.05,surface water layer (ENVO:00002042),1.04,0.04,2.68,,2.6,0.0,218.016833,208.9,0.5,,MS,1.0,38.182917,36.0,TARA_025_SRF_0.22-1.6,TARA_025,,TARA_025,18.342533,69.36,0.00814534915403,1.40901404248,0.032289483025,0.0,0.37157095712,0.0672417303086,22.5578440394,62.9354562413,0.288483312865,0.262004367724,4.36712877238,22.6169447917
ERR599044,28.2,,0.003811,09/01/2010 7:25,800.0,ERS490373,,mesopelagic zone (ENVO:00000213),,0.01,0.03,37.7793,-0.1,0.0,161.730633,188.8,0.02,,SAO,0.82,34.443883,40.0,TARA_070_MES_0.22-3,TARA_070,,TARA_070,4.216697,0.0,0.544383317487,0.0829721069939,0.114850585111,0.0,2.91461359806,0.0177171226019,0.391564197747,5.23910221326,0.0981544361188,0.000654117385738,0.0452030342633,0.109669124034
ERR599045,,,0.026898,18/10/2011 18:58,5.0,ERS489236,-0.16,surface water layer (ENVO:00002042),,0.0,0.02,2.575786,-0.7,0.03,185.243833,224.4,0.29,,IO,1.91,35.091133,33.1,TARA_045_SRF_0.22-1.6,TARA_045,,TARA_045,30.496383,40.67,0.00232762815333,25.4758366064,0.0279602603881,0.0,11.7229679523,0.0798656877853,277.013215086,56.0096121999,0.119744898227,0.0239533300503,0.213145522597,2.45433730394
ERR599046,47.7,,0.226052,15/03/2010 3:44,120.0,ERS490691,0.01,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.16,0.01,0.06,0.478929,0.9,0.07,217.140667,199.9,0.32,,SAO,1.18,36.27495,36.6,TARA_078_DCM_0.22-3,TARA_078,,TARA_078,19.30925,1.08,0.354774863754,8.95140689505,0.031740027245,0.0,11.3397436521,0.522854903497,53.2952635922,39.7467576186,0.0763754525553,0.0147841645951,0.283458626605,1.22206185455
ERR599047,38.3,,0.006052,06/01/2011 20:36,640.0,ERS494274,0.0,mesopelagic zone (ENVO:00000213),0.22,0.06,31.0,21.830872,33.1,0.0,138.0832,325.4,2.31,,NAO,81.82,35.402185,34.3,TARA_146_MES_0.22-3,TARA_146,,TARA_146,11.012346,3.08,0.947046960085,0.0310188899975,0.0591542022795,0.0,6.76183631798,0.00880314588239,0.0661036780018,8.43417144779,0.0684411668084,0.000708735568921,0.0294422212877,0.0657372954985
ERR599048,35.4,,0.0,20/01/2010 4:50,800.0,ERS490507,,mesopelagic zone (ENVO:00000213),0.67,0.02,0.03,38.448475,-0.9,0.0,143.1955,184.1,0.19,,SAO,3.91,34.472575,38.6,TARA_072_MES_0.22-3,TARA_072,,TARA_072,4.673875,0.0,0.274860812562,39.8266888009,0.0763206316835,0.0,16.3379059322,1.0452129577,75.8360694622,19.0888200123,0.0715681157226,0.0454793316903,0.899690670892,0.172790768399
ERR599049,40.5,,0.163228,27/07/2011 23:48,5.0,ERS488621,0.0,surface water layer (ENVO:00002042),,0.02,34.63,-0.000271,42.5,0.02,182.812167,38.1,2.43,,RS,22.49,38.937417,34.6,TARA_033_SRF_0.22-1.6,TARA_033,,TARA_033,27.329517,8.42,0.0478080944793,29.8172010232,0.0412833805597,0.0,32.9788064076,0.507105703297,70.2675586263,106.791552154,0.121600748218,0.0243466807158,0.501210850028,38.0114815653
