RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR599371,0,1000,ERS489729,mesopelagic zone (ENVO:00000213),99999,87.902,34.8332,TARA_056,6.2402
ERR599058,0.085544,5,ERS489733,surface water layer (ENVO:00002042),99999,190.05375,35.05375,TARA_057,26.965433
ERR599026,0.032278,66,ERS489846,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,190.9649,99999,TARA_058,26.34018
ERR599012,0.089746,5,ERS489877,surface water layer (ENVO:00002042),-0.166794,199.895917,35.324825,TARA_062,25.080167
ERR599339,0.089746,5,ERS489904,surface water layer (ENVO:00002042),-0.166794,199.895917,35.324825,TARA_062,25.080167
ERR598970,0.162993,5,ERS489917,surface water layer (ENVO:00002042),99999,210.00775,35.334717,TARA_064,22.165567
ERR599150,0.162993,5,ERS489917,surface water layer (ENVO:00002042),99999,210.00775,35.334717,TARA_064,22.165567
ERR599088,0.162993,5,ERS489917,surface water layer (ENVO:00002042),99999,210.00775,35.334717,TARA_064,22.165567
ERR594392,0.162993,5,ERS489943,surface water layer (ENVO:00002042),99999,210.00775,35.334717,TARA_064,22.165567
ERR599164,0,1000,ERS489987,mesopelagic zone (ENVO:00000213),99999,193.011,34.57915,TARA_064,7.6502
ERR599021,0,1000,ERS489987,mesopelagic zone (ENVO:00000213),99999,193.011,34.57915,TARA_064,7.6502
ERR599351,0,1000,ERS489996,mesopelagic zone (ENVO:00000213),99999,193.011,34.57915,TARA_064,7.6502
ERR598972,0.214573,65,ERS490002,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
ERR599025,0.214573,65,ERS490002,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
ERR599023,0.214573,65,ERS490002,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.112031,207.446227,35.335545,TARA_064,22.250309
